"STATION","NAME","DATE","AWND","TAVG"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-27","4.70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-28","3.36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-29","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11-30","6.26",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-01","7.61",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-02","8.72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-03","8.72",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-04","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-05","5.59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-06","5.37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-07","3.80",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-10","6.04",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-11","4.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-12","6.26",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-13","4.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-14","5.59",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-15","10.96",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-16","6.04",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-17","4.25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-18","7.38",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-19","6.71",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-20","3.13",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-21","2.91",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-22","6.26",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-23","6.49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-24","4.92",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-25","6.26",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-26","6.49",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-27","7.16",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-28","5.14",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-29","5.37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-30","9.40",
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12-31","6.93",
